month,system_input_m3,billed_authorized_m3,unbilled_authorized_m3,electricity_kwh,electricity_cost_usd,non_energy_marginal_cost_usd_per_m3,grid_kgco2e_per_kwh
2025-09,120000,101000,2500,66000,8250,0.11,0.39
2025-10,121000,102000,2500,66550,8319,0.11,0.39
2025-11,118000,100000,2400,64900,8113,0.11,0.39
2025-12,123000,104000,2600,67650,8456,0.11,0.39
2026-01,124000,105000,2600,68200,8525,0.11,0.39
2026-02,119000,100500,2500,65450,8181,0.11,0.39
2026-03,122000,101500,2500,67100,8388,0.11,0.39
2026-04,125000,103000,2600,68750,8594,0.11,0.39
2026-05,127000,103500,2700,69850,8731,0.11,0.39
2026-06,130000,103000,2800,71500,8938,0.11,0.39
2026-07,133000,104000,2900,73150,9144,0.11,0.39
2026-08,134000,104500,2900,73700,9213,0.11,0.39
